owner,package,downloads,is_top_100,overall_percentage,top_100_percentage
r-lib,pkgdepends,0,FALSE,0,0
r-lib,pkginstall,0,FALSE,0,0
r-lib,tracer,196,FALSE,2.4527895575638175e-6,0
r-lib,pak,382,FALSE,4.780436790762134e-6,0
r-lib,fs,261468,TRUE,0.0032720713267198787,0.0059255545944079035
r-lib,tar,0,FALSE,0,0
r-lib,showimage,3915,FALSE,4.8993219989093595e-5,0
r-lib,ghurl,0,FALSE,0,0
r-lib,io,351,FALSE,4.392495585229081e-6,0
r-lib,err,758,FALSE,9.485788186904967e-6,0
r-lib,bench,2663,FALSE,3.3325400978532886e-5,0
r-lib,conflicted,8856,FALSE,1.1082604245808758e-4,0
r-lib,generics,240244,TRUE,0.0030064692574865394,0.005444562768594751
r-lib,ps,261289,TRUE,0.003269831279113736,0.005921497982232038
r-lib,governance,0,FALSE,0,0
r-lib,ellipsis,364533,TRUE,0.004561850692792913,0.008261279364829717
r-lib,carrier,695,FALSE,8.697391543402311e-6,0
r-lib,xopen,141379,FALSE,0.001769249667647015,0
r-lib,cliapp,1767,FALSE,2.2112648715384007e-5,0
r-lib,pkgcache,614,FALSE,7.683738716041755e-6,0
r-lib,itdepends,0,FALSE,0,0
r-lib,gert,446,FALSE,5.581347666701339e-6,0
r-lib,devoid,207,FALSE,2.5904461143658683e-6,0
r-lib,rray,0,FALSE,0,0
r-lib,funs,0,FALSE,0,0
r-lib,credentials,995,FALSE,1.2451661274367338e-05,0
r-lib,httr2,0,FALSE,0,0
r-lib,vroom,1935,FALSE,2.4215039764724422e-5,0
r-lib,lifecycle,0,FALSE,0,0
r-lib,ghactions,0,FALSE,0,0
r-lib,ragg,0,FALSE,0,0
r-lib,cleancall,190,FALSE,2.377704162944517e-6,0
r-lib,fastmap,0,FALSE,0,0
r-lib,systemfonts,161,FALSE,2.0147914222845643e-6,0
tidymodels,broom,325376,TRUE,0.004071830893274921,0.007373878454380903
tidymodels,corrr,2722,FALSE,3.406374069228934e-5,0
tidymodels,recipes,82182,FALSE,0.0010284446501005594,0
tidymodels,rsample,8306,FALSE,1.0394321461798504e-4,0
tidymodels,infer,6355,FALSE,7.95279471342758e-5,0
tidymodels,tidyposterior,1815,FALSE,2.2713331872338412e-5,0
tidymodels,yardstick,3925,FALSE,4.9118362313459094e-5,0
tidymodels,parsnip,1937,FALSE,2.424006822959752e-5,0
tidymodels,tidypredict,1637,FALSE,2.0485798498632495e-5,0
tidymodels,modeldb,268,FALSE,3.3538142929954235e-6,0
tidymodels,embed,267,FALSE,3.3413000605588735e-6,0
tidymodels,tidymodels,1929,FALSE,2.413995437010512e-5,0
tidymodels,dials,1546,FALSE,1.9347003346906438e-5,0
tidymodels,textrecipes,200,FALSE,2.5028464873100176e-6,0
tidymodels,probably,291,FALSE,3.641641639036076e-6,0
tidymodels,hardhat,0,FALSE,0,0
